City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
fortuna,40.5982,-124.1573,61.66,65,90,4.0,US,1623435158
barrow,71.2906,-156.7887,39.22,81,90,8.05,US,1623435159
biak,-0.9131,122.8766,76.33,83,56,5.7,ID,1623435159
kaitangata,-46.2817,169.8464,38.79,93,25,3.83,NZ,1623435159
mar del plata,-38.0023,-57.5575,54.12,60,0,8.01,AR,1623434952
jamestown,42.097,-79.2353,83.01,56,20,1.01,US,1623434871
abha,18.2164,42.5053,73.65,57,40,6.91,SA,1623435161
constitucion,-35.3333,-72.4167,63.82,61,53,9.4,CL,1623435161
buin,-33.7333,-70.75,75.52,12,10,1.61,CL,1623435162
darnah,32.767,22.6367,71.73,76,1,9.55,LY,1623435162
dauphin,51.1494,-100.0502,62.74,98,90,5.75,CA,1623435162
cape town,-33.9258,18.4232,64.11,50,0,9.22,ZA,1623435141
bredasdorp,-34.5322,20.0403,54.72,94,75,3.44,ZA,1623435149
vaini,-21.2,-175.2,73.58,61,39,25.7,TO,1623435163
klaksvik,62.2266,-6.589,49.12,86,87,24.74,FO,1623435163
komsomolskiy,40.4272,71.7189,78.22,27,46,8.32,UZ,1623435164
guzelyurt,38.2772,34.3719,61.59,59,62,5.17,TR,1623435164
whitehorse,60.7161,-135.0538,54.37,50,75,2.3,CA,1623435165
viedma,-40.8135,-62.9967,65.86,43,99,14.67,AR,1623435028
nadvoitsy,63.8667,34.3167,66.67,44,2,9.01,RU,1623435165
gorin,51.1983,136.6669,57.2,97,100,2.89,RU,1623435166
dasoguz,41.8363,59.9666,78.91,20,1,9.66,TM,1623435166
georgetown,5.4112,100.3354,82.89,82,20,1.14,MY,1623435066
provideniya,64.3833,-173.3,39.78,92,100,9.57,RU,1623435167
maraa,-1.8333,-65.3667,80.89,88,47,3.71,BR,1623435167
talnakh,69.4865,88.3972,34.16,100,100,3.38,RU,1623435167
saquena,-4.6667,-73.5167,92.34,46,14,3.36,PE,1623435168
kirovskiy,45.0917,133.5136,59.14,98,100,4.43,RU,1623435168
thompson,55.7435,-97.8558,66.36,52,75,11.5,CA,1623435160
east london,-33.0153,27.9116,63.54,72,0,4.61,ZA,1623435169
hilo,19.7297,-155.09,77.79,76,1,3.44,US,1623435169
djibo,14.1022,-1.6306,104.04,18,37,4.07,BF,1623435170
daru,-9.0763,143.2092,78.66,87,72,10.36,PG,1623435170
hay river,60.8156,-115.7999,40.98,100,90,5.75,CA,1623435153
cidreira,-30.1811,-50.2056,59.67,55,3,16.17,BR,1623435149
aksarka,66.5606,67.7975,57.7,64,100,10.4,RU,1623435171
butaritari,3.0707,172.7902,82.35,73,44,12.37,KI,1623435171
quatre cocos,-20.2078,57.7625,75.31,76,88,20.65,MU,1623435172
norman wells,65.282,-126.8329,59.04,67,75,4.61,CA,1623435172
guiratinga,-16.3494,-53.7583,74.05,66,100,3.51,BR,1623435173
hasaki,35.7333,140.8333,63.28,75,100,9.15,JP,1623435173
hithadhoo,-0.6,73.0833,83.97,73,64,10.51,MV,1623435174
bambous virieux,-20.3428,57.7575,75.45,73,75,14.97,MU,1623435174
henties bay,-22.116,14.2845,64.51,63,32,4.65,NA,1623435175
bluff,-46.6,168.3333,42.93,87,12,7.0,NZ,1623435148
castro,-24.7911,-50.0119,63.21,69,74,7.54,BR,1623435175
leningradskiy,69.3833,178.4167,32.92,93,100,5.19,RU,1623435176
saldanha,-33.0117,17.9442,57.25,78,73,6.67,ZA,1623435176
ahipara,-35.1667,173.1667,55.78,91,78,6.62,NZ,1623435177
geelong,-38.1471,144.3607,54.07,93,90,8.01,AU,1623435177
inverell,-29.7833,151.1167,45.66,91,52,1.01,AU,1623435177
atuona,-9.8,-139.0333,78.96,76,15,14.99,PF,1623435178
awbari,26.5921,12.7805,89.85,14,0,9.69,LY,1623435178
pevek,69.7008,170.3133,31.84,90,58,7.38,RU,1623435158
raudeberg,61.9875,5.1352,58.6,94,99,17.05,NO,1623435179
laguna,38.421,-121.4238,77.65,38,1,3.0,US,1623435179
evensk,61.95,159.2333,46.78,71,94,7.45,RU,1623435180
coihaique,-45.5752,-72.0662,51.75,87,90,9.22,CL,1623435180
sao filipe,14.8961,-24.4956,74.16,83,14,5.46,CV,1623435162
richards bay,-28.783,32.0377,63.55,84,0,7.0,ZA,1623435181
saint-philippe,-21.3585,55.7679,72.99,82,87,18.81,RE,1623435181
kazachinskoye,57.6953,93.2761,42.75,68,25,4.18,RU,1623435182
fairbanks,64.8378,-147.7164,59.09,69,90,3.44,US,1623435182
souillac,-20.5167,57.5167,75.58,73,75,14.97,MU,1623435183
mandal,25.45,74.5667,93.2,35,15,16.64,IN,1623435183
mayo,38.8876,-76.5119,70.95,96,90,11.01,US,1623435183
kununurra,-15.7667,128.7333,51.78,82,85,0.0,AU,1623434984
brownsville,25.9018,-97.4975,93.9,60,20,7.0,US,1623435129
coahuayana,18.7333,-103.6833,89.08,48,100,7.29,MX,1623435184
praia da vitoria,38.7333,-27.0667,71.85,78,75,2.68,PT,1623435186
grindavik,63.8424,-22.4338,44.55,70,75,32.21,IS,1623435186
wanning,18.8003,110.3967,78.19,92,100,6.78,CN,1623435186
neyshabur,36.2133,58.7958,84.52,16,0,8.03,IR,1623435187
krutinka,56.0055,71.5113,49.24,79,49,4.65,RU,1623435187
mahanoro,-19.9,48.8,67.41,88,2,5.53,MG,1623435187
havre-saint-pierre,50.2334,-63.5986,52.16,58,90,19.57,CA,1623435188
srednekolymsk,67.45,153.6833,43.74,64,12,3.18,RU,1623435188
niksar,40.5917,36.9517,60.37,89,18,3.49,TR,1623435189
istisu,40.9457,48.0738,66.87,87,62,3.13,AZ,1623435189
paidha,2.4167,30.9855,66.43,55,24,5.57,UG,1623435190
tasiilaq,65.6145,-37.6368,42.96,93,100,3.27,GL,1623435190
agadez,19.75,10.25,95.86,10,0,5.46,NE,1623435190
honningsvag,70.9821,25.9704,51.55,93,75,5.75,NO,1623435191
nunguan,7.1283,124.6891,74.14,97,100,1.12,PH,1623435191
lasa,46.6166,10.7002,70.68,86,73,5.28,IT,1623435192
taseyevo,57.2169,94.8978,43.05,60,12,2.77,RU,1623435192
samarai,-10.6167,150.6667,80.15,85,10,10.96,PG,1623435192
namatanai,-3.6667,152.4333,78.91,82,18,9.46,PG,1623435193
aksu,41.1231,80.2644,78.85,23,83,10.0,CN,1623435193
lorengau,-2.0226,147.2712,80.28,83,84,9.57,PG,1623435194
yatou,37.15,122.3833,63.68,93,50,3.49,CN,1623435194
rio gallegos,-51.6226,-69.2181,44.65,70,0,9.22,AR,1623435195
corinto,37.9407,22.9573,75.02,75,81,3.62,GR,1623435195
baikunthpur,23.25,82.55,81.55,69,35,1.05,IN,1623435196
san policarpo,12.1791,125.5072,77.49,89,100,5.84,PH,1623435196
husavik,66.0449,-17.3389,39.11,98,100,26.08,IS,1623435197
clyde river,70.4692,-68.5914,41.23,70,20,27.63,CA,1623435197
goundam,16.4145,-3.6708,105.49,18,19,8.77,ML,1623435197
laguna de perlas,12.3429,-83.6712,84.74,68,75,5.66,NI,1623435198
derzhavinsk,51.1,66.3167,61.59,40,72,17.9,KZ,1623435198
tuy hoa,13.0833,109.3,81.57,72,100,11.54,VN,1623435199
mae ramat,16.984,98.5166,73.11,98,100,2.19,TH,1623435199
guozhen,34.3659,107.359,77.09,61,99,4.38,CN,1623435199
jiuquan,39.7432,98.5174,71.73,27,76,2.59,CN,1623435200
san ignacio,17.1561,-89.0714,89.74,66,40,4.61,BZ,1623435200
meybod,32.2501,54.0166,93.22,9,0,5.46,IR,1623435201
luderitz,-26.6481,15.1594,62.8,53,60,3.22,NA,1623435201
arraial do cabo,-22.9661,-42.0278,75.06,83,75,8.05,BR,1623435202
alice springs,-23.7,133.8833,45.95,34,27,5.75,AU,1623435199
beyneu,45.3167,55.2,75.11,51,100,2.44,KZ,1623435202
dokka,60.84,10.0618,64.42,61,99,9.44,NO,1623435203
maningrida,-12.0667,134.2667,63.73,91,29,8.41,AU,1623435203
douentza,14.9951,-2.9517,83.43,54,84,10.4,ML,1623435204
carnarvon,-24.8667,113.6333,60.87,74,75,5.75,AU,1623435204
bilma,18.6853,12.9164,100.99,9,40,6.64,NE,1623435204
linkoping,58.4109,15.6216,73.78,57,75,6.91,SE,1623435205
vaitape,-16.5167,-151.75,76.15,86,99,8.34,PF,1623435205
cayenne,4.9333,-52.3333,84.09,77,90,1.01,GF,1623434975
payson,40.0444,-111.7321,74.03,29,1,1.01,US,1623434949
flinders,-34.5833,150.8552,54.25,70,3,7.0,AU,1623435206
baghdad,33.3406,44.4009,89.51,20,0,14.97,IQ,1623435206
kiama,-34.6833,150.8667,54.45,68,4,5.99,AU,1623435207
novo aripuana,-5.1206,-60.3797,91.67,45,93,3.09,BR,1623435207
iqaluit,63.7506,-68.5145,42.53,65,20,10.0,CA,1623435179
somerset east,-32.7217,25.588,63.28,33,17,7.49,ZA,1623435208
acapulco,16.8634,-99.8901,82.22,83,90,5.75,MX,1623435057
grand gaube,-20.0064,57.6608,75.6,71,80,10.0,MU,1623435208
bagotville,-28.9833,153.4167,49.78,84,7,6.2,AU,1623435209
romanovo,52.6182,81.2271,49.08,64,95,8.59,RU,1623435209
mayya,61.7333,130.2811,47.52,79,2,3.27,RU,1623435210
nueva loja,0.0847,-76.8828,80.62,83,75,5.75,EC,1623435210
dingle,10.9995,122.6711,76.42,95,100,1.16,PH,1623435210
duluth,46.7833,-92.1066,65.46,96,90,5.99,US,1623435051
saint george,37.1041,-113.5841,84.34,9,1,1.01,US,1623434977
vao,-22.6667,167.4833,72.63,74,100,13.58,NC,1623435211
panji,-7.7253,114.0995,76.64,80,63,4.94,ID,1623435212
yakeshi,49.2833,120.7333,53.19,76,0,4.29,CN,1623435212
meulaboh,4.1363,96.1285,77.38,86,92,4.23,ID,1623435212
kavaratti,10.5669,72.642,83.59,77,100,18.32,IN,1623435213
gilgit,35.9221,74.3087,79.16,37,6,0.96,PK,1623435213
carutapera,-1.195,-46.02,77.0,84,100,3.69,BR,1623435214
olafsvik,64.8945,-23.7142,43.34,59,90,15.37,IS,1623435144
aklavik,68.2191,-135.0107,59.72,81,75,8.05,CA,1623435214
new norfolk,-42.7826,147.0587,56.66,85,100,1.01,AU,1623435163
muros,42.7762,-9.0603,84.24,61,0,16.15,ES,1623435215
mahebourg,-20.4081,57.7,75.49,73,75,14.97,MU,1623435215
ndjole,-0.1783,10.7649,77.07,93,100,3.71,GA,1623435216
itagi,-14.1628,-40.0061,85.6,40,68,5.7,BR,1623435216
cap malheureux,-19.9842,57.6142,75.69,71,82,10.0,MU,1623435216
aquiraz,-3.9014,-38.3911,86.09,66,21,9.75,BR,1623435217
kamaishi,39.2667,141.8833,61.2,93,100,9.06,JP,1623435217
darhan,49.4867,105.9228,50.07,85,73,4.72,MN,1623435218
wufeng,27.45,104.8333,59.41,95,96,3.44,CN,1623435218
acajutla,13.5928,-89.8275,89.94,68,59,6.17,SV,1623435219
tuatapere,-46.1333,167.6833,42.93,89,8,4.79,NZ,1623435219
hamilton,39.1834,-84.5333,89.74,68,75,1.99,US,1623435219
laramie,41.3114,-105.5911,68.77,19,1,1.99,US,1623435009
cabo san lucas,22.8909,-109.9124,100.51,74,1,9.22,MX,1623435209
geraldton,-28.7667,114.6,59.41,100,90,6.91,AU,1623435220
necochea,-38.5473,-58.7368,60.04,44,100,14.27,AR,1623435221
lokosovo,61.1333,74.8167,56.59,67,100,7.4,RU,1623435221
valle hermoso,25.6667,-97.8333,93.06,48,91,18.01,MX,1623435221
sarangani,5.4033,125.4636,81.43,75,97,3.98,PH,1623435222
syracuse,37.0881,15.2792,76.89,64,35,5.64,IT,1623435222
patrocinio,-18.9439,-46.9925,71.96,59,85,8.7,BR,1623435223
urengoy,65.9667,78.3667,48.25,88,98,9.64,RU,1623435223
manuk mangkaw,4.8,119.85,83.5,72,84,3.2,PH,1623435223
san patricio,28.017,-97.5169,92.07,51,0,15.01,US,1623435224
kuching,1.55,110.3333,75.42,88,40,3.44,MY,1623435224
ancud,-41.8697,-73.8203,57.42,94,100,18.7,CL,1623435225
kaili,-3.4626,120.2147,66.09,92,32,3.33,ID,1623435225
saint anthony,45.0205,-93.218,84.52,55,1,1.99,US,1623435225
yumen,40.2833,97.2,74.08,21,89,7.4,CN,1623435226
kombissiri,12.0656,-1.3375,85.98,30,27,3.33,BF,1623435226
villa maria,-32.4075,-63.2402,68.83,38,34,9.93,AR,1623435227
yantal,56.8471,105.2542,41.16,63,33,3.53,RU,1623435227
mehamn,71.0357,27.8492,64.31,89,100,6.49,NO,1623435228
port elizabeth,-33.918,25.5701,63.1,82,0,5.75,ZA,1623435228
saskylakh,71.9167,114.0833,36.73,94,100,18.34,RU,1623435131
kirakira,-10.4544,161.9205,78.66,86,45,8.32,SB,1623435229
port moresby,-9.4431,147.1797,74.14,91,13,4.18,PG,1623435229
kandrian,-6.2167,149.55,78.08,88,48,7.63,PG,1623435230
kautokeino,69.0125,23.0412,68.52,51,100,29.21,NO,1623435230
lagunas,-5.2269,-75.6753,84.52,71,64,2.13,PE,1623435231
savannah bight,16.45,-85.85,89.65,79,100,19.62,HN,1623435231
ambilobe,-13.2,49.05,70.18,84,23,1.68,MG,1623435232
nortelandia,-14.4547,-56.8028,84.56,48,99,5.84,BR,1623435233
reynosa,26.0833,-98.2833,92.97,58,40,14.97,MX,1623435005
tongliao,43.6125,122.2653,71.2,60,19,11.45,CN,1623435234
ilulissat,69.2167,-51.1,39.22,70,75,5.75,GL,1623435234
jalu,29.0331,21.5482,85.24,23,0,11.63,LY,1623435234
kamenka,51.3223,42.7678,63.03,79,16,4.59,RU,1623435235
ucluelet,48.9329,-125.5528,56.08,88,100,1.01,CA,1623435038
pelym,61.0108,61.9978,59.49,46,29,5.75,RU,1623435235
ozark,37.0209,-93.206,92.75,70,33,1.01,US,1623435236
lukulu,-14.3707,23.242,62.19,31,32,5.99,ZM,1623435236
teguldet,57.3064,88.1667,43.0,66,22,3.89,RU,1623435237
ballybofey,54.8,-7.7833,56.95,63,90,11.79,IE,1623435237
moose factory,51.2585,-80.6094,59.0,44,1,9.22,CA,1623435238
nome,64.5011,-165.4064,42.87,87,90,10.36,US,1623435238
abu zabad,12.35,29.25,87.82,41,64,16.98,SD,1623435239
barcelos,41.5388,-8.6151,86.29,47,27,6.04,PT,1623435239
camacha,33.0833,-16.3333,75.96,77,40,14.97,PT,1623435239
karratha,-20.7377,116.8463,73.56,70,100,8.81,AU,1623435240
tijucas,-27.2414,-48.6336,75.87,65,37,4.03,BR,1623435240
san cristobal,7.7669,-72.225,82.58,68,89,6.8,VE,1623435014
sarh,9.1429,18.3923,89.51,58,0,0.0,TD,1623435241
ponta delgada,37.7333,-25.6667,68.72,83,75,3.44,PT,1623435241
bontang,0.1333,117.5,77.02,88,72,4.41,ID,1623435020
puerto maldonado,-12.6,-69.1833,63.0,100,75,9.22,PE,1623435242
nanortalik,60.1432,-45.2371,36.75,96,99,1.43,GL,1623435171
namibe,-15.1961,12.1522,74.17,64,4,11.05,AO,1623435205
almeirim,-1.5233,-52.5817,79.86,76,99,2.73,BR,1623435234
katsuura,35.1333,140.3,70.11,79,99,7.0,JP,1623435243
westport,41.1415,-73.3579,79.61,58,1,1.01,US,1623435243
ahome,25.9167,-109.1833,94.14,57,63,1.99,MX,1623435244
kenai,60.5544,-151.2583,51.89,76,1,16.11,US,1623435244
chala,-7.5833,31.2667,58.73,66,15,2.01,TZ,1623435244
susanino,58.1461,41.5872,59.05,71,33,5.28,RU,1623435245
khatanga,71.9667,102.5,34.88,71,17,0.96,RU,1623435245
newport,51.5877,-2.9984,68.18,89,100,12.84,GB,1623435246
naze,28.3667,129.4833,74.98,91,100,5.08,JP,1623435075
kanniyakumari,8.0833,77.5667,81.09,81,71,19.57,IN,1623435247
garowe,8.4054,48.4845,85.19,39,90,16.11,SO,1623435247
sikandarabad,28.45,77.7,95.43,37,23,12.37,IN,1623435247
sao joao da barra,-21.6403,-41.0511,82.49,78,17,6.33,BR,1623435045
bathsheba,13.2167,-59.5167,86.61,58,20,13.8,BB,1623435248
bam,29.106,58.357,99.54,7,1,8.52,IR,1623435248
hualmay,-11.0964,-77.6139,69.37,69,49,10.98,PE,1623435249
port macquarie,-31.4333,152.9167,45.37,78,3,4.14,AU,1623435009
avera,33.194,-82.5271,89.91,64,84,12.01,US,1623435147
port hedland,-20.3167,118.5667,71.65,94,77,1.14,AU,1623435250
ritchie,-29.038,24.6028,61.81,42,11,10.65,ZA,1623435250
presidencia roque saenz pena,-26.7852,-60.4388,71.76,44,0,3.67,AR,1623435250
mancio lima,-7.6142,-72.8958,91.47,58,75,0.0,BR,1623435251
egvekinot,66.3167,-179.1667,38.41,77,99,0.51,RU,1623435251
rocha,-34.4833,-54.3333,53.2,65,78,12.68,UY,1623435166
tessalit,20.1986,1.0114,107.24,7,21,11.7,ML,1623435252
broken hill,-31.95,141.4333,54.23,65,100,5.7,AU,1623435252
kingsville,27.5159,-97.8561,94.96,57,40,5.99,US,1623435253
hofn,64.2539,-15.2082,53.62,50,0,29.93,IS,1623435253
yerbogachen,61.2767,108.0108,38.53,79,10,4.59,RU,1623435254
zarate,-34.0981,-59.0286,63.03,42,74,8.5,AR,1623435254
rudiskes,54.5167,24.8333,68.81,84,82,2.57,LT,1623435255
hobyo,5.3505,48.5268,78.44,78,89,23.82,SO,1623435255
beloha,-25.1667,45.05,67.44,81,2,12.08,MG,1623435256
mecca,21.4267,39.8261,92.88,30,4,6.42,SA,1623435088
martin,27.0837,-80.4164,91.98,63,25,4.27,US,1623435154
inhambane,-23.865,35.3833,66.18,94,40,3.44,MZ,1623435256
sisimiut,66.9395,-53.6735,39.87,73,32,7.27,GL,1623435257
kjollefjord,70.9457,27.3465,64.18,89,100,6.02,NO,1623435258
soyo,-6.1349,12.3689,76.48,90,40,9.93,AO,1623435258
sarahan,31.5167,77.8,64.67,81,54,2.08,IN,1623435258
bindura,-17.3019,31.3306,42.84,42,12,4.23,ZW,1623435259
birao,10.2849,22.7882,92.32,31,93,6.06,CF,1623435259
chalus,36.655,51.4204,74.21,78,3,1.72,IR,1623435171
sao felix do xingu,-6.6447,-51.995,89.94,41,99,1.88,BR,1623435260
baoning,25.3378,110.026,75.88,93,44,2.26,CN,1623435260
dourbali,11.8091,15.8632,98.82,24,72,8.72,TD,1623435013
makakilo city,21.3469,-158.0858,77.32,78,1,6.91,US,1623435261
omsukchan,62.5333,155.8,39.24,86,99,2.37,RU,1623435261
hovd,48.0056,91.6419,53.69,80,64,1.79,MN,1623435262
batouri,4.4333,14.3667,75.11,72,87,3.71,CM,1623435262
merauke,-8.4667,140.3333,78.03,88,61,11.03,ID,1623435263
sur,22.5667,59.5289,87.13,70,0,14.83,OM,1623435263
te anau,-45.4167,167.7167,41.07,91,16,1.21,NZ,1623435264
caravelas,-17.7125,-39.2481,77.25,71,52,6.46,BR,1623435264
isangel,-19.55,169.2667,72.48,73,84,10.22,VU,1623435264
show low,34.2542,-110.0298,85.66,7,1,6.91,US,1623435265
maneadero,31.7167,-116.5667,74.19,75,0,3.0,MX,1623435265
shimoda,34.6667,138.95,67.15,81,100,1.21,JP,1623435266
conceicao do araguaia,-8.2578,-49.2647,95.13,38,0,4.61,BR,1623435266
celestun,20.8667,-90.4,86.83,59,100,6.15,MX,1623435266
kayerkan,69.3497,87.7602,34.41,99,100,7.14,RU,1623435267
nuuk,64.1835,-51.7216,41.61,81,75,6.91,GL,1623435267
ust-nera,64.5667,143.2,48.31,62,11,1.68,RU,1623435268
guasdualito,7.2424,-70.7324,78.31,89,95,6.67,VE,1623434998
severo-kurilsk,50.6789,156.125,47.05,80,100,5.59,RU,1623435268
knysna,-34.0363,23.0471,59.38,52,48,3.8,ZA,1623435269
marshfield,44.6689,-90.1718,86.88,65,1,8.05,US,1623435134
isla mujeres,21.2311,-86.731,89.65,70,92,12.44,MX,1623435269
san carlos,9.6612,-68.5827,83.12,65,91,5.28,VE,1623435270
ginda,30.6945,78.4932,67.91,85,31,3.87,IN,1623435270
san francisco,37.7749,-122.4194,73.63,63,20,4.0,US,1623435000
elizabeth city,36.2946,-76.2511,84.02,83,75,4.61,US,1623435165
rafaela,-31.2503,-61.4867,66.99,30,68,4.0,AR,1623435016
jalpan,21.2333,-99.4833,85.84,41,100,3.49,MX,1623435271
listvyanskiy,54.4399,83.4984,47.19,79,81,8.1,RU,1623435272
ostrovnoy,68.0531,39.5131,69.31,44,24,22.12,RU,1623435272
thanh hoa,19.8,105.7667,78.73,90,92,3.62,VN,1623435272
abu dhabi,24.4667,54.3667,89.71,79,0,6.91,AE,1623435248
haines junction,60.7522,-137.5108,66.15,27,37,10.36,CA,1623435273
grand-santi,4.25,-54.3833,80.64,91,98,0.83,GF,1623435273
la asuncion,11.0333,-63.8628,73.13,100,61,17.27,VE,1623435274
lompoc,34.6391,-120.4579,80.85,47,1,16.11,US,1623435274
san luis,-33.295,-66.3356,65.26,44,1,16.13,AR,1623435275
bilibino,68.0546,166.4372,41.47,79,100,2.37,RU,1623435275
aleksandrovka,46.8383,32.7612,66.31,69,98,6.55,UA,1623435276
arrecife,28.963,-13.5477,80.58,47,0,24.16,ES,1623435276
guerrero negro,27.9769,-114.0611,69.39,60,10,20.15,MX,1623435276
mezen,65.8522,44.24,66.43,45,25,1.45,RU,1623435277
gazanjyk,39.2446,55.5154,82.02,42,0,12.46,TM,1623435277
portland,45.5234,-122.6762,59.85,84,100,3.0,US,1623434979
ravenna,44.4167,11.9833,79.11,71,89,5.99,IT,1623435278
shevchenkove,49.6959,37.1735,60.58,79,69,5.66,UA,1623435278
catuday,16.2923,119.8062,78.62,83,100,9.31,PH,1623435279
roseburg,43.2165,-123.3417,57.31,64,90,3.44,US,1623435279
gamba,-2.65,10.0,76.33,88,75,5.14,GA,1623435279
hervey bay,-25.2986,152.8535,46.04,60,5,7.61,AU,1623435280
hami,42.8,93.45,79.75,28,97,9.51,CN,1623435280
narsaq,60.9167,-46.05,48.42,82,100,5.44,GL,1623435281
qasigiannguit,68.8193,-51.1922,39.45,80,93,4.29,GL,1623435281
nishihara,26.1842,127.7558,78.85,94,40,5.75,JP,1623435281
kendari,-3.945,122.4989,74.55,94,18,2.44,ID,1623435282
uray,60.1247,64.7758,58.55,55,56,5.91,RU,1623435282
bonavista,48.6499,-53.1147,55.4,78,67,15.23,CA,1623435283
inyonga,-6.7167,32.0667,66.0,59,3,5.1,TZ,1623435283
burnie,-41.0667,145.9167,55.92,85,64,4.74,AU,1623435283
tadine,-21.55,167.8833,71.8,82,100,10.51,NC,1623435284
fort myers beach,26.452,-81.9481,93.0,66,20,3.0,US,1623435269
marevo,57.3146,32.0804,53.44,98,100,3.15,RU,1623435284
vanimo,-2.6741,141.3028,76.1,89,55,6.04,PG,1623435285
harper,4.375,-7.7169,78.12,84,100,1.28,LR,1623435285
assiniboia,49.6334,-105.9845,58.91,62,100,28.77,CA,1623435199
rehli,23.6333,79.0833,86.0,56,64,12.88,IN,1623435286
banbury,52.0602,-1.3403,69.71,75,100,11.88,GB,1623435286
andra,62.5147,65.8878,60.87,53,89,3.76,RU,1623435287
lodja,-3.4833,23.4333,81.3,38,51,2.15,CD,1623435287
